Size	0	1	2	3	4	5	6	7	8	9	10
1	43	33	23	13	3	0	0	0	0	0	0
2	116	106	96	86	76	66	56	46	36	26	16
4	280	270	260	250	240	230	220	210	200	190	180
8	549	539	529	519	509	499	489	479	469	459	449
16	988	978	968	958	948	938	928	918	908	898	888
32	2363	2353	2343	2333	2323	2313	2303	2293	2283	2273	2263
64	4566	4556	4546	4536	4526	4516	4506	4496	4486	4476	4466
128	9139	9129	9119	9109	9099	9089	9079	9069	9059	9049	9039
256	17831	17821	17811	17801	17791	17781	17771	17761	17751	17741	17731
512	35875	35865	35855	35845	35835	35825	35815	35805	35795	35785	35775
1024	72670	72660	72650	72640	72630	72620	72610	72600	72590	72580	72570
2048	145336	145326	145316	145306	145296	145286	145276	145266	145256	145246	145236
