Size	0	1	2	3	4	5	6	7	8	9	10
1	7	0	0	0	0	0	0	0	0	0	0
2	8	0	0	0	0	0	0	0	0	0	0
4	15	5	0	0	0	0	0	0	0	0	0
8	28	18	8	0	0	0	0	0	0	0	0
16	58	48	38	28	18	8	0	0	0	0	0
32	142	132	122	112	102	92	82	72	62	52	42
64	289	279	269	259	249	239	229	219	209	199	189
128	604	594	584	574	564	554	544	534	524	514	504
256	1132	1122	1112	1102	1092	1082	1072	1062	1052	1042	1032
512	2232	2222	2212	2202	2192	2182	2172	2162	2152	2142	2132
1024	4509	4499	4489	4479	4469	4459	4449	4439	4429	4419	4409
2048	8956	8946	8936	8926	8916	8906	8896	8886	8876	8866	8856
