Size	0	1	2	3	4	5	6	7	8	9	10
1	1	0	0	0	0	0	0	0	0	0	0
2	5	0	0	0	0	0	0	0	0	0	0
4	10	0	0	0	0	0	0	0	0	0	0
8	18	8	0	0	0	0	0	0	0	0	0
16	36	26	16	6	0	0	0	0	0	0	0
32	82	72	62	52	42	32	22	12	2	0	0
64	159	149	139	129	119	109	99	89	79	69	59
128	333	323	313	303	293	283	273	263	253	243	233
256	652	642	632	622	612	602	592	582	572	562	552
512	1336	1326	1316	1306	1296	1286	1276	1266	1256	1246	1236
1024	2685	2675	2665	2655	2645	2635	2625	2615	2605	2595	2585
2048	5402	5392	5382	5372	5362	5352	5342	5332	5322	5312	5302
