Size	0	1	2	3	4	5	6	7	8	9	10
1	2	0	0	0	0	0	0	0	0	0	0
2	7	0	0	0	0	0	0	0	0	0	0
4	17	7	0	0	0	0	0	0	0	0	0
8	33	23	13	3	0	0	0	0	0	0	0
16	66	56	46	36	26	16	6	0	0	0	0
32	121	111	101	91	81	71	61	51	41	31	21
64	240	230	220	210	200	190	180	170	160	150	140
128	483	473	463	453	443	433	423	413	403	393	383
256	931	921	911	901	891	881	871	861	851	841	831
512	1886	1876	1866	1856	1846	1836	1826	1816	1806	1796	1786
1024	3873	3863	3853	3843	3833	3823	3813	3803	3793	3783	3773
2048	7675	7665	7655	7645	7635	7625	7615	7605	7595	7585	7575
