Size	0	1	2	3	4	5	6	7	8	9	10
1	3	0	0	0	0	0	0	0	0	0	0
2	3	0	0	0	0	0	0	0	0	0	0
4	12	2	0	0	0	0	0	0	0	0	0
8	28	18	8	0	0	0	0	0	0	0	0
16	76	66	56	46	36	26	16	6	0	0	0
32	178	168	158	148	138	128	118	108	98	88	78
64	434	424	414	404	394	384	374	364	354	344	334
128	851	841	831	821	811	801	791	781	771	761	751
256	1627	1617	1607	1597	1587	1577	1567	1557	1547	1537	1527
512	3014	3004	2994	2984	2974	2964	2954	2944	2934	2924	2914
1024	6092	6082	6072	6062	6052	6042	6032	6022	6012	6002	5992
2048	11932	11922	11912	11902	11892	11882	11872	11862	11852	11842	11832
