Size	0	1	2	3	4	5	6	7	8	9	10
1	7	7	7	7	7	7	7	7	7	7	7
2	8	8	8	8	8	8	8	8	8	8	8
4	15	14	13	12	11	10	9	9	9	9	9
8	28	26	24	22	20	18	17	16	15	14	13
16	58	53	48	44	40	36	33	30	27	25	23
32	142	128	116	105	95	86	78	71	64	58	53
64	289	261	235	212	191	172	155	140	126	114	103
128	604	544	490	441	397	358	323	291	262	236	213
256	1132	1019	918	827	745	671	604	544	490	441	397
512	2232	2009	1809	1629	1467	1321	1189	1071	964	868	782
1024	4509	4059	3654	3289	2961	2665	2399	2160	1944	1750	1575
2048	8956	8061	7255	6530	5877	5290	4761	4285	3857	3472	3125
