Size	0	1	2	3	4	5	6	7	8	9	10
1	1	1	1	1	1	1	1	1	1	1	1
2	5	5	5	5	5	5	5	5	5	5	5
4	10	9	9	9	9	9	9	9	9	9	9
8	18	17	16	15	14	13	12	11	10	9	9
16	36	33	30	27	25	23	21	19	18	17	16
32	82	74	67	61	55	50	45	41	37	34	31
64	159	144	130	117	106	96	87	79	72	65	59
128	333	300	270	243	219	198	179	162	146	132	119
256	652	587	529	477	430	387	349	315	284	256	231
512	1336	1203	1083	975	878	791	712	641	577	520	468
1024	2685	2417	2176	1959	1764	1588	1430	1287	1159	1044	940
2048	5402	4862	4376	3939	3546	3192	2873	2586	2328	2096	1887
