Size	0	1	2	3	4	5	6	7	8	9	10
1	2	2	2	2	2	2	2	2	2	2	2
2	7	7	7	7	7	7	7	7	7	7	7
4	17	16	15	14	13	12	11	10	9	9	9
8	33	30	27	25	23	21	19	18	17	16	15
16	66	60	54	49	45	41	37	34	31	28	26
32	121	109	99	90	81	73	66	60	54	49	45
64	240	216	195	176	159	144	130	117	106	96	87
128	483	435	392	353	318	287	259	234	211	190	171
256	931	838	755	680	612	551	496	447	403	363	327
512	1886	1698	1529	1377	1240	1116	1005	905	815	734	661
1024	3873	3486	3138	2825	2543	2289	2061	1855	1670	1503	1353
2048	7675	6908	6218	5597	5038	4535	4082	3674	3307	2977	2680
