Size	0	1	2	3	4	5	6	7	8	9	10
1	3	3	3	3	3	3	3	3	3	3	3
2	3	3	3	3	3	3	3	3	3	3	3
4	12	11	10	9	9	9	9	9	9	9	9
8	28	26	24	22	20	18	17	16	15	14	13
16	76	69	63	57	52	47	43	39	36	33	30
32	178	161	145	131	118	107	97	88	80	72	65
64	434	391	352	317	286	258	233	210	189	171	154
128	851	766	690	621	559	504	454	409	369	333	300
256	1627	1465	1319	1188	1070	963	867	781	703	633	570
512	3014	2713	2442	2198	1979	1782	1604	1444	1300	1170	1053
1024	6092	5483	4935	4442	3998	3599	3240	2916	2625	2363	2127
2048	11932	10739	9666	8700	7830	7047	6343	5709	5139	4626	4164
