ChangeSet	RunIndex	Tool	Size	Query	PhaseName	Iteration	MetricName	MetricValue
fixed	1	ATL	1	PosLength	check	0	rss	43
fixed	1	ATL	1	PosLength	recheck	1	rss	33
fixed	1	ATL	1	PosLength	recheck	2	rss	23
fixed	1	ATL	1	PosLength	recheck	3	rss	13
fixed	1	ATL	1	PosLength	recheck	4	rss	3
fixed	1	ATL	1	PosLength	recheck	5	rss	0
fixed	1	ATL	1	PosLength	recheck	6	rss	0
fixed	1	ATL	1	PosLength	recheck	7	rss	0
fixed	1	ATL	1	PosLength	recheck	8	rss	0
fixed	1	ATL	1	PosLength	recheck	9	rss	0
fixed	1	ATL	1	PosLength	recheck	10	rss	0
fixed	1	ATL	1	PosLength	read	0	time	255779944
fixed	1	ATL	1	PosLength	read	0	memory	14174400
fixed	1	ATL	1	PosLength	check	0	time	68925992
fixed	1	ATL	1	PosLength	check	0	memory	15419696
fixed	1	ATL	1	PosLength	recheck	1	time	3666716
fixed	1	ATL	1	PosLength	recheck	1	memory	16664992
fixed	1	ATL	1	PosLength	recheck	2	time	3470430
fixed	1	ATL	1	PosLength	recheck	2	memory	17910288
fixed	1	ATL	1	PosLength	recheck	3	time	3163862
fixed	1	ATL	1	PosLength	recheck	3	memory	17910288
fixed	1	ATL	1	PosLength	recheck	4	time	2619369
fixed	1	ATL	1	PosLength	recheck	4	memory	17910288
fixed	1	ATL	1	PosLength	recheck	5	time	2300256
fixed	1	ATL	1	PosLength	recheck	5	memory	17910288
fixed	1	ATL	1	PosLength	recheck	6	time	2465065
fixed	1	ATL	1	PosLength	recheck	6	memory	17910288
fixed	1	ATL	1	PosLength	recheck	7	time	2395318
fixed	1	ATL	1	PosLength	recheck	7	memory	17910288
fixed	1	ATL	1	PosLength	recheck	8	time	2858818
fixed	1	ATL	1	PosLength	recheck	8	memory	19155584
fixed	1	ATL	1	PosLength	recheck	9	time	1993085
fixed	1	ATL	1	PosLength	recheck	9	memory	19155584
fixed	1	ATL	1	PosLength	recheck	10	time	1971188
fixed	1	ATL	1	PosLength	recheck	10	memory	19155584
fixed	1	ATL	1	PosLength	repair	1	time	14998767
fixed	1	ATL	1	PosLength	repair	1	memory	16664992
fixed	1	ATL	1	PosLength	repair	2	time	995290
fixed	1	ATL	1	PosLength	repair	2	memory	16664992
fixed	1	ATL	1	PosLength	repair	3	time	1014987
fixed	1	ATL	1	PosLength	repair	3	memory	17910288
fixed	1	ATL	1	PosLength	repair	4	time	978424
fixed	1	ATL	1	PosLength	repair	4	memory	17910288
fixed	1	ATL	1	PosLength	repair	5	time	441345
fixed	1	ATL	1	PosLength	repair	5	memory	17910288
fixed	1	ATL	1	PosLength	repair	6	time	105603
fixed	1	ATL	1	PosLength	repair	6	memory	17910288
fixed	1	ATL	1	PosLength	repair	7	time	117987
fixed	1	ATL	1	PosLength	repair	7	memory	17910288
fixed	1	ATL	1	PosLength	repair	8	time	102433
fixed	1	ATL	1	PosLength	repair	8	memory	17910288
fixed	1	ATL	1	PosLength	repair	9	time	107314
fixed	1	ATL	1	PosLength	repair	9	memory	19155584
fixed	1	ATL	1	PosLength	repair	10	time	113134
fixed	1	ATL	1	PosLength	repair	10	memory	19155584
fixed	2	ATL	1	PosLength	check	0	rss	43
fixed	2	ATL	1	PosLength	recheck	1	rss	33
fixed	2	ATL	1	PosLength	recheck	2	rss	23
fixed	2	ATL	1	PosLength	recheck	3	rss	13
fixed	2	ATL	1	PosLength	recheck	4	rss	3
fixed	2	ATL	1	PosLength	recheck	5	rss	0
fixed	2	ATL	1	PosLength	recheck	6	rss	0
fixed	2	ATL	1	PosLength	recheck	7	rss	0
fixed	2	ATL	1	PosLength	recheck	8	rss	0
fixed	2	ATL	1	PosLength	recheck	9	rss	0
fixed	2	ATL	1	PosLength	recheck	10	rss	0
fixed	2	ATL	1	PosLength	read	0	time	70687089
fixed	2	ATL	1	PosLength	read	0	memory	7168024
fixed	2	ATL	1	PosLength	check	0	time	7520256
fixed	2	ATL	1	PosLength	check	0	memory	8413320
fixed	2	ATL	1	PosLength	recheck	1	time	1455892
fixed	2	ATL	1	PosLength	recheck	1	memory	8413320
fixed	2	ATL	1	PosLength	recheck	2	time	1413305
fixed	2	ATL	1	PosLength	recheck	2	memory	8413320
fixed	2	ATL	1	PosLength	recheck	3	time	1448024
fixed	2	ATL	1	PosLength	recheck	3	memory	8413320
fixed	2	ATL	1	PosLength	recheck	4	time	2314156
fixed	2	ATL	1	PosLength	recheck	4	memory	8413320
fixed	2	ATL	1	PosLength	recheck	5	time	1723098
fixed	2	ATL	1	PosLength	recheck	5	memory	8413320
fixed	2	ATL	1	PosLength	recheck	6	time	1567702
fixed	2	ATL	1	PosLength	recheck	6	memory	9658616
fixed	2	ATL	1	PosLength	recheck	7	time	1506328
fixed	2	ATL	1	PosLength	recheck	7	memory	9658616
fixed	2	ATL	1	PosLength	recheck	8	time	1492127
fixed	2	ATL	1	PosLength	recheck	8	memory	9658616
fixed	2	ATL	1	PosLength	recheck	9	time	1458941
fixed	2	ATL	1	PosLength	recheck	9	memory	9658616
fixed	2	ATL	1	PosLength	recheck	10	time	1525387
fixed	2	ATL	1	PosLength	recheck	10	memory	9658616
fixed	2	ATL	1	PosLength	repair	1	time	1083519
fixed	2	ATL	1	PosLength	repair	1	memory	8413320
fixed	2	ATL	1	PosLength	repair	2	time	885254
fixed	2	ATL	1	PosLength	repair	2	memory	8413320
fixed	2	ATL	1	PosLength	repair	3	time	994753
fixed	2	ATL	1	PosLength	repair	3	memory	8413320
fixed	2	ATL	1	PosLength	repair	4	time	978962
fixed	2	ATL	1	PosLength	repair	4	memory	8413320
fixed	2	ATL	1	PosLength	repair	5	time	408755
fixed	2	ATL	1	PosLength	repair	5	memory	8413320
fixed	2	ATL	1	PosLength	repair	6	time	222812
fixed	2	ATL	1	PosLength	repair	6	memory	8413320
fixed	2	ATL	1	PosLength	repair	7	time	134214
fixed	2	ATL	1	PosLength	repair	7	memory	9658616
fixed	2	ATL	1	PosLength	repair	8	time	114115
fixed	2	ATL	1	PosLength	repair	8	memory	9658616
fixed	2	ATL	1	PosLength	repair	9	time	113368
fixed	2	ATL	1	PosLength	repair	9	memory	9658616
fixed	2	ATL	1	PosLength	repair	10	time	126601
fixed	2	ATL	1	PosLength	repair	10	memory	9658616
fixed	3	ATL	1	PosLength	check	0	rss	43
fixed	3	ATL	1	PosLength	recheck	1	rss	33
fixed	3	ATL	1	PosLength	recheck	2	rss	23
fixed	3	ATL	1	PosLength	recheck	3	rss	13
fixed	3	ATL	1	PosLength	recheck	4	rss	3
fixed	3	ATL	1	PosLength	recheck	5	rss	0
fixed	3	ATL	1	PosLength	recheck	6	rss	0
fixed	3	ATL	1	PosLength	recheck	7	rss	0
fixed	3	ATL	1	PosLength	recheck	8	rss	0
fixed	3	ATL	1	PosLength	recheck	9	rss	0
fixed	3	ATL	1	PosLength	recheck	10	rss	0
fixed	3	ATL	1	PosLength	read	0	time	63892547
fixed	3	ATL	1	PosLength	read	0	memory	6980208
fixed	3	ATL	1	PosLength	check	0	time	7514404
fixed	3	ATL	1	PosLength	check	0	memory	6980208
fixed	3	ATL	1	PosLength	recheck	1	time	1174590
fixed	3	ATL	1	PosLength	recheck	1	memory	8225528
fixed	3	ATL	1	PosLength	recheck	2	time	1300015
