ChangeSet	RunIndex	Tool	Size	Query	PhaseName	Iteration	MetricName	MetricValue
fixed	1	EMFIncQuery-Incremental	1	PosLength	check	0	rss	43
fixed	1	EMFIncQuery-Incremental	1	PosLength	recheck	1	rss	33
fixed	1	EMFIncQuery-Incremental	1	PosLength	recheck	2	rss	23
fixed	1	EMFIncQuery-Incremental	1	PosLength	recheck	3	rss	13
fixed	1	EMFIncQuery-Incremental	1	PosLength	recheck	4	rss	3
fixed	1	EMFIncQuery-Incremental	1	PosLength	recheck	5	rss	0
fixed	1	EMFIncQuery-Incremental	1	PosLength	recheck	6	rss	0
fixed	1	EMFIncQuery-Incremental	1	PosLength	recheck	7	rss	0
fixed	1	EMFIncQuery-Incremental	1	PosLength	recheck	8	rss	0
fixed	1	EMFIncQuery-Incremental	1	PosLength	recheck	9	rss	0
fixed	1	EMFIncQuery-Incremental	1	PosLength	recheck	10	rss	0
fixed	1	EMFIncQuery-Incremental	1	PosLength	read	0	time	883384180
fixed	1	EMFIncQuery-Incremental	1	PosLength	read	0	memory	38595344
fixed	1	EMFIncQuery-Incremental	1	PosLength	check	0	time	53443
fixed	1	EMFIncQuery-Incremental	1	PosLength	check	0	memory	38595344
fixed	1	EMFIncQuery-Incremental	1	PosLength	recheck	1	time	5648
fixed	1	EMFIncQuery-Incremental	1	PosLength	recheck	1	memory	39917024
fixed	1	EMFIncQuery-Incremental	1	PosLength	recheck	2	time	1696
fixed	1	EMFIncQuery-Incremental	1	PosLength	recheck	2	memory	39917024
fixed	1	EMFIncQuery-Incremental	1	PosLength	recheck	3	time	1621
fixed	1	EMFIncQuery-Incremental	1	PosLength	recheck	3	memory	39917024
fixed	1	EMFIncQuery-Incremental	1	PosLength	recheck	4	time	1407
fixed	1	EMFIncQuery-Incremental	1	PosLength	recheck	4	memory	39917024
fixed	1	EMFIncQuery-Incremental	1	PosLength	recheck	5	time	1270
fixed	1	EMFIncQuery-Incremental	1	PosLength	recheck	5	memory	39917024
fixed	1	EMFIncQuery-Incremental	1	PosLength	recheck	6	time	1176
fixed	1	EMFIncQuery-Incremental	1	PosLength	recheck	6	memory	39917024
fixed	1	EMFIncQuery-Incremental	1	PosLength	recheck	7	time	1140
fixed	1	EMFIncQuery-Incremental	1	PosLength	recheck	7	memory	39917024
fixed	1	EMFIncQuery-Incremental	1	PosLength	recheck	8	time	1242
