ChangeSet	RunIndex	Tool	Size	Query	PhaseName	Iteration	MetricName	MetricValue
fixed	1	FunnyQT	1	PosLength	check	0	rss	43
fixed	1	FunnyQT	1	PosLength	recheck	1	rss	33
fixed	1	FunnyQT	1	PosLength	recheck	2	rss	23
fixed	1	FunnyQT	1	PosLength	recheck	3	rss	13
fixed	1	FunnyQT	1	PosLength	recheck	4	rss	3
fixed	1	FunnyQT	1	PosLength	recheck	5	rss	0
fixed	1	FunnyQT	1	PosLength	recheck	6	rss	0
fixed	1	FunnyQT	1	PosLength	recheck	7	rss	0
fixed	1	FunnyQT	1	PosLength	recheck	8	rss	0
fixed	1	FunnyQT	1	PosLength	recheck	9	rss	0
fixed	1	FunnyQT	1	PosLength	recheck	10	rss	0
fixed	1	FunnyQT	1	PosLength	read	0	time	265043987
fixed	1	FunnyQT	1	PosLength	read	0	memory	21395584
fixed	1	FunnyQT	1	PosLength	check	0	time	19044690
fixed	1	FunnyQT	1	PosLength	check	0	memory	21395584
fixed	1	FunnyQT	1	PosLength	recheck	1	time	4712638
fixed	1	FunnyQT	1	PosLength	recheck	1	memory	21395584
fixed	1	FunnyQT	1	PosLength	recheck	2	time	3270864
fixed	1	FunnyQT	1	PosLength	recheck	2	memory	21395584
fixed	1	FunnyQT	1	PosLength	recheck	3	time	3196466
fixed	1	FunnyQT	1	PosLength	recheck	3	memory	29083888
fixed	1	FunnyQT	1	PosLength	recheck	4	time	3373955
fixed	1	FunnyQT	1	PosLength	recheck	4	memory	29083888
fixed	1	FunnyQT	1	PosLength	recheck	5	time	3373318
fixed	1	FunnyQT	1	PosLength	recheck	5	memory	29083888
fixed	1	FunnyQT	1	PosLength	recheck	6	time	3647787
fixed	1	FunnyQT	1	PosLength	recheck	6	memory	29083888
fixed	1	FunnyQT	1	PosLength	recheck	7	time	3616719
fixed	1	FunnyQT	1	PosLength	recheck	7	memory	29083888
fixed	1	FunnyQT	1	PosLength	recheck	8	time	3648659
fixed	1	FunnyQT	1	PosLength	recheck	8	memory	29083888
fixed	1	FunnyQT	1	PosLength	recheck	9	time	3521886
fixed	1	FunnyQT	1	PosLength	recheck	9	memory	29083888
fixed	1	FunnyQT	1	PosLength	recheck	10	time	3420478
fixed	1	FunnyQT	1	PosLength	recheck	10	memory	29083888
fixed	1	FunnyQT	1	PosLength	repair	1	time	630493
fixed	1	FunnyQT	1	PosLength	repair	1	memory	21395584
fixed	1	FunnyQT	1	PosLength	repair	2	time	63414
fixed	1	FunnyQT	1	PosLength	repair	2	memory	21395584
fixed	1	FunnyQT	1	PosLength	repair	3	time	56075
fixed	1	FunnyQT	1	PosLength	repair	3	memory	21395584
fixed	1	FunnyQT	1	PosLength	repair	4	time	87191
fixed	1	FunnyQT	1	PosLength	repair	4	memory	29083888
fixed	1	FunnyQT	1	PosLength	repair	5	time	31016
fixed	1	FunnyQT	1	PosLength	repair	5	memory	29083888
fixed	1	FunnyQT	1	PosLength	repair	6	time	917
fixed	1	FunnyQT	1	PosLength	repair	6	memory	29083888
fixed	1	FunnyQT	1	PosLength	repair	7	time	858
fixed	1	FunnyQT	1	PosLength	repair	7	memory	29083888
fixed	1	FunnyQT	1	PosLength	repair	8	time	839
fixed	1	FunnyQT	1	PosLength	repair	8	memory	29083888
fixed	1	FunnyQT	1	PosLength	repair	9	time	848
fixed	1	FunnyQT	1	PosLength	repair	9	memory	29083888
fixed	1	FunnyQT	1	PosLength	repair	10	time	836
fixed	1	FunnyQT	1	PosLength	repair	10	memory	29083888
fixed	2	FunnyQT	1	PosLength	check	0	rss	43
fixed	2	FunnyQT	1	PosLength	recheck	1	rss	33
fixed	2	FunnyQT	1	PosLength	recheck	2	rss	23
fixed	2	FunnyQT	1	PosLength	recheck	3	rss	13
fixed	2	FunnyQT	1	PosLength	recheck	4	rss	3
fixed	2	FunnyQT	1	PosLength	recheck	5	rss	0
fixed	2	FunnyQT	1	PosLength	recheck	6	rss	0
fixed	2	FunnyQT	1	PosLength	recheck	7	rss	0
fixed	2	FunnyQT	1	PosLength	recheck	8	rss	0
fixed	2	FunnyQT	1	PosLength	recheck	9	rss	0
fixed	2	FunnyQT	1	PosLength	recheck	10	rss	0
fixed	2	FunnyQT	1	PosLength	read	0	time	58885438
fixed	2	FunnyQT	1	PosLength	read	0	memory	22201368
fixed	2	FunnyQT	1	PosLength	check	0	time	4134130
fixed	2	FunnyQT	1	PosLength	check	0	memory	22201368
fixed	2	FunnyQT	1	PosLength	recheck	1	time	3367564
fixed	2	FunnyQT	1	PosLength	recheck	1	memory	22201368
fixed	2	FunnyQT	1	PosLength	recheck	2	time	3360650
fixed	2	FunnyQT	1	PosLength	recheck	2	memory	22201368
fixed	2	FunnyQT	1	PosLength	recheck	3	time	3802980
fixed	2	FunnyQT	1	PosLength	recheck	3	memory	22201368
fixed	2	FunnyQT	1	PosLength	recheck	4	time	3475504
fixed	2	FunnyQT	1	PosLength	recheck	4	memory	22201368
fixed	2	FunnyQT	1	PosLength	recheck	5	time	3362409
fixed	2	FunnyQT	1	PosLength	recheck	5	memory	22201368
fixed	2	FunnyQT	1	PosLength	recheck	6	time	3400641
fixed	2	FunnyQT	1	PosLength	recheck	6	memory	22201368
fixed	2	FunnyQT	1	PosLength	recheck	7	time	3391961
fixed	2	FunnyQT	1	PosLength	recheck	7	memory	22201368
fixed	2	FunnyQT	1	PosLength	recheck	8	time	3333706
fixed	2	FunnyQT	1	PosLength	recheck	8	memory	22201368
fixed	2	FunnyQT	1	PosLength	recheck	9	time	3383209
fixed	2	FunnyQT	1	PosLength	recheck	9	memory	22201368
fixed	2	FunnyQT	1	PosLength	recheck	10	time	3334783
