ChangeSet	RunIndex	Tool	Size	Query	PhaseName	Iteration	MetricName	MetricValue
fixed	0	NMF	1	PosLength	read	0	time	375000000
fixed	0	NMF	1	PosLength	read	0	memory	19173376000000
fixed	0	NMF	1	PosLength	check	0	time	3000000
fixed	0	NMF	1	PosLength	check	0	memory	19361792000000
fixed	0	NMF	1	PosLength	check	0	rss	43000000
fixed	0	NMF	1	PosLength	repair	0	time	3000000
fixed	0	NMF	1	PosLength	repair	0	memory	19386368000000
fixed	0	NMF	1	PosLength	recheck	0	time	0
fixed	0	NMF	1	PosLength	recheck	0	memory	19550208000000
fixed	0	NMF	1	PosLength	recheck	0	rss	33000000
fixed	0	NMF	1	PosLength	repair	1	time	0
fixed	0	NMF	1	PosLength	repair	1	memory	19550208000000
fixed	0	NMF	1	PosLength	recheck	1	time	0
fixed	0	NMF	1	PosLength	recheck	1	memory	19714048000000
fixed	0	NMF	1	PosLength	recheck	1	rss	23000000
fixed	0	NMF	1	PosLength	repair	2	time	0
fixed	0	NMF	1	PosLength	repair	2	memory	19714048000000
fixed	0	NMF	1	PosLength	recheck	2	time	0
fixed	0	NMF	1	PosLength	recheck	2	memory	19877888000000
fixed	0	NMF	1	PosLength	recheck	2	rss	13000000
fixed	0	NMF	1	PosLength	repair	3	time	0
fixed	0	NMF	1	PosLength	repair	3	memory	19877888000000
fixed	0	NMF	1	PosLength	recheck	3	time	0
fixed	0	NMF	1	PosLength	recheck	3	memory	20033536000000
fixed	0	NMF	1	PosLength	recheck	3	rss	6000000
fixed	0	NMF	1	PosLength	repair	4	time	0
fixed	0	NMF	1	PosLength	repair	4	memory	20041728000000
fixed	0	NMF	1	PosLength	recheck	4	time	0
fixed	0	NMF	1	PosLength	recheck	4	memory	20197376000000
fixed	0	NMF	1	PosLength	recheck	4	rss	3000000
fixed	0	NMF	1	PosLength	repair	5	time	0
fixed	0	NMF	1	PosLength	repair	5	memory	20197376000000
fixed	0	NMF	1	PosLength	recheck	5	time	0
fixed	0	NMF	1	PosLength	recheck	5	memory	20353024000000
fixed	0	NMF	1	PosLength	recheck	5	rss	1000000
fixed	0	NMF	1	PosLength	repair	6	time	0
fixed	0	NMF	1	PosLength	repair	6	memory	20353024000000
fixed	0	NMF	1	PosLength	recheck	6	time	0
fixed	0	NMF	1	PosLength	recheck	6	memory	20508672000000
fixed	0	NMF	1	PosLength	recheck	6	rss	0
fixed	0	NMF	1	PosLength	repair	7	time	0
fixed	0	NMF	1	PosLength	repair	7	memory	20508672000000
fixed	0	NMF	1	PosLength	recheck	7	time	0
fixed	0	NMF	1	PosLength	recheck	7	memory	20664320000000
fixed	0	NMF	1	PosLength	recheck	7	rss	0
fixed	0	NMF	1	PosLength	repair	8	time	0
fixed	0	NMF	1	PosLength	repair	8	memory	20664320000000
fixed	0	NMF	1	PosLength	recheck	8	time	0
fixed	0	NMF	1	PosLength	recheck	8	memory	20819968000000
fixed	0	NMF	1	PosLength	recheck	8	rss	0
fixed	0	NMF	1	PosLength	repair	9	time	0
fixed	0	NMF	1	PosLength	repair	9	memory	20819968000000
fixed	0	NMF	1	PosLength	recheck	9	time	0
fixed	0	NMF	1	PosLength	recheck	9	memory	20975616000000
fixed	0	NMF	1	PosLength	recheck	9	rss	0
fixed	1	NMF	1	PosLength	read	0	time	64000000
fixed	1	NMF	1	PosLength	read	0	memory	21762048000000
fixed	1	NMF	1	PosLength	check	0	time	0
fixed	1	NMF	1	PosLength	check	0	memory	21762048000000
fixed	1	NMF	1	PosLength	check	0	rss	43000000
fixed	1	NMF	1	PosLength	repair	0	time	0
fixed	1	NMF	1	PosLength	repair	0	memory	21762048000000
fixed	1	NMF	1	PosLength	recheck	0	time	0
fixed	1	NMF	1	PosLength	recheck	0	memory	21762048000000
