ChangeSet	RunIndex	Tool	Size	Query	PhaseName	Iteration	MetricName	MetricValue
fixed	1	Sigma	1	PosLength	check	0	rss	43
fixed	1	Sigma	1	PosLength	recheck	1	rss	33
fixed	1	Sigma	1	PosLength	recheck	2	rss	23
fixed	1	Sigma	1	PosLength	recheck	3	rss	13
fixed	1	Sigma	1	PosLength	recheck	4	rss	3
fixed	1	Sigma	1	PosLength	recheck	5	rss	0
fixed	1	Sigma	1	PosLength	read	0	time	3473606378
fixed	1	Sigma	1	PosLength	read	0	memory	24783792
fixed	1	Sigma	1	PosLength	check	0	time	35789502
fixed	1	Sigma	1	PosLength	check	0	memory	26104992
fixed	1	Sigma	1	PosLength	recheck	1	time	4773651
fixed	1	Sigma	1	PosLength	recheck	1	memory	28747392
fixed	1	Sigma	1	PosLength	recheck	2	time	3188379
fixed	1	Sigma	1	PosLength	recheck	2	memory	28747392
fixed	1	Sigma	1	PosLength	recheck	3	time	4454677
fixed	1	Sigma	1	PosLength	recheck	3	memory	28747392
fixed	1	Sigma	1	PosLength	recheck	4	time	2718969
fixed	1	Sigma	1	PosLength	recheck	4	memory	28747392
fixed	1	Sigma	1	PosLength	recheck	5	time	2671527
fixed	1	Sigma	1	PosLength	recheck	5	memory	28747392
fixed	1	Sigma	1	PosLength	repair	1	time	2425726
fixed	1	Sigma	1	PosLength	repair	1	memory	27426192
fixed	1	Sigma	1	PosLength	repair	2	time	119811
fixed	1	Sigma	1	PosLength	repair	2	memory	28747392
fixed	1	Sigma	1	PosLength	repair	3	time	122779
fixed	1	Sigma	1	PosLength	repair	3	memory	28747392
fixed	1	Sigma	1	PosLength	repair	4	time	145877
fixed	1	Sigma	1	PosLength	repair	4	memory	28747392
fixed	1	Sigma	1	PosLength	repair	5	time	66656
fixed	1	Sigma	1	PosLength	repair	5	memory	28747392
fixed	2	Sigma	1	PosLength	check	0	rss	43
fixed	2	Sigma	1	PosLength	recheck	1	rss	33
fixed	2	Sigma	1	PosLength	recheck	2	rss	23
fixed	2	Sigma	1	PosLength	recheck	3	rss	13
fixed	2	Sigma	1	PosLength	recheck	4	rss	3
fixed	2	Sigma	1	PosLength	recheck	5	rss	0
fixed	2	Sigma	1	PosLength	read	0	time	79050067
fixed	2	Sigma	1	PosLength	read	0	memory	10070408
fixed	2	Sigma	1	PosLength	check	0	time	2426202
fixed	2	Sigma	1	PosLength	check	0	memory	10070408
fixed	2	Sigma	1	PosLength	recheck	1	time	1897425
